sex,year,age,n,qx,lx,dx,Lx,Tx,ex,type
female,2034,15,5,0.000856158669878885,99030,85,494937.5,6958265.82940985,70.2642212401278,lower
female,2034,20,5,0.0020435935201133,98945,202,494220,6463328.32940985,65.322434983171,lower
female,2034,25,5,0.00310592386141786,98743,307,492947.5,5969108.32940985,60.4509517576928,lower
female,2034,30,5,0.00352541907683585,98436,347,491312.5,5476160.82940985,55.631687892741,lower
female,2034,35,5,0.0061549830415575,98089,604,488935,4984848.32940985,50.8196467433642,lower
female,2034,40,5,0.00756267589388277,97485,737,485582.5,4495913.32940985,46.119026818586,lower
female,2034,45,5,0.010927103751236,96748,1057,481097.5,4010330.82940985,41.4513047237137,lower
female,2034,50,5,0.0156869712186572,95691,1501,474702.5,3529233.32940985,36.8815597016423,lower
female,2034,55,5,0.0226126946896736,94190,2130,465625,3054530.82940985,32.4294599151699,lower
female,2034,60,5,0.0338540326256464,92060,3117,452507.5,2588905.82940985,28.1219403585689,lower
female,2034,65,5,0.048517992437442,88943,4315,433927.5,2136398.32940985,24.0198591166236,lower
female,2034,70,5,0.0740854160480152,84628,6270,407465,1702470.82940985,20.1171105238202,lower
female,2034,75,5,0.117876719810777,78358,9236,368700,1295005.82940985,16.5267851324671,lower
female,2034,80,5,0.186989831623202,69122,12925,313297.5,926305.829409854,13.4010275948302,lower
female,2034,85,,1,56197,56197,613008.329409854,613008.329409854,10.9082038082078,lower
female,2035,0,1,0.00790671260639701,1e+05,791,99261.5061345467,8452142.94715494,84.5214294715494,lower
female,2035,1,4,0.000813365298194574,99209,80,396646.285529235,8352881.44102039,84.1947952405568,lower
female,2035,5,5,0.000531424293892349,99129,53,495512.5,7956235.15549116,80.2614285980002,lower
female,2035,10,5,0.00033404680093409,99076,33,495297.5,7460722.65549116,75.303026519956,lower
female,2035,15,5,0.000847433312108032,99043,84,495005,6965425.15549116,70.3272836595333,lower
female,2035,20,5,0.00202464231655431,98959,200,494295,6470420.15549116,65.3848579259204,lower
female,2035,25,5,0.00307502138094163,98759,304,493035,5976125.15549116,60.5122080568977,lower
female,2035,30,5,0.00349726770753887,98455,344,491415,5483090.15549116,55.6913326442655,lower
female,2035,35,5,0.00610990855894195,98111,600,489055,4991675.15549116,50.8778338360751,lower
female,2035,40,5,0.00751357127600871,97511,733,485722.5,4502620.15549116,46.1755099987813,lower
female,2035,45,5,0.0108761064792123,96778,1052,481260,4016897.65549116,41.5063098585542,lower
female,2035,50,5,0.0156179566992242,95726,1495,474892.5,3535637.65549116,36.9349774929607,lower
female,2035,55,5,0.0225210162208411,94231,2122,465850,3060745.15549116,32.4812976142794,lower
female,2035,60,5,0.0337024774703319,92109,3105,452782.5,2594895.15549116,28.1720044240103,lower
female,2035,65,5,0.0482928348186783,89004,4298,434275,2142112.65549116,24.0675998324925,lower
female,2035,70,5,0.0737298223568652,84706,6245,407917.5,1707837.65549116,20.1619443190702,lower
female,2035,75,5,0.117454003995031,78461,9216,369265,1299920.15549116,16.5677235249507,lower
female,2035,80,5,0.186269721255789,69245,12898,313980,930655.15549116,13.4400340167689,lower
female,2035,85,,1,56347,56347,616675.15549116,616675.15549116,10.9442411395666,lower
female,2036,0,1,0.00778905460575044,1e+05,779,99272.4599740434,8461239.56280819,84.6123956280819,lower
female,2036,1,4,0.000789034986688121,99221,78,396699.054612925,8361967.10283415,84.2761824899381,lower
female,2036,5,5,0.000520446028552889,99143,52,495585,7965268.04822122,80.3412046056829,lower
female,2036,10,5,0.00032938110694042,99091,32,495375,7469683.04822122,75.3820533471377,lower
female,2036,15,5,0.000836938457400223,99059,83,495087.5,6974308.04822123,70.405597151407,lower
female,2036,20,5,0.00199973883538553,98976,198,494385,6479220.54822123,65.4625419113848,lower
female,2036,25,5,0.00304129294114578,98778,301,493137.5,5984835.54822122,60.5887500073015,lower
female,2036,30,5,0.00346288630717132,98477,341,491532.5,5491698.04822123,55.7663012502536,lower
female,2036,35,5,0.00605813321221051,98136,594,489195,5000165.54822123,50.9513893802603,lower
female,2036,40,5,0.00745475210158269,97542,727,485892.5,4510970.54822122,46.2464430524413,lower
female,2036,45,5,0.0108064987541092,96815,1047,481457.5,4025078.04822123,41.574942397575,lower
female,2036,50,5,0.0155235756386586,95768,1486,475125,3543620.54822122,37.0021358723292,lower
female,2036,55,5,0.0224078254901592,94282,2113,466127.5,3068495.54822123,32.5459318663289,lower
female,2036,60,5,0.033520113969097,92169,3089,453122.5,2602368.04822122,28.2347432240908,lower
female,2036,65,5,0.0480222236287449,89080,4278,434705,2149245.54822123,24.1271390684915,lower
female,2036,70,5,0.0732965818386085,84802,6216,408470,1714540.54822122,20.2181616969084,lower
female,2036,75,5,0.116884534009408,78586,9185,369967.5,1306070.54822123,16.619633881623,lower
female,2036,80,5,0.185407955310931,69401,12868,314835,936103.048221225,13.4883221887469,lower
female,2036,85,,1,56533,56533,621268.048221225,621268.048221225,10.9894760267671,lower
female,2037,0,1,0.00767634734307439,1e+05,768,99282.4976454891,8469747.07427294,84.6974707427294,lower
female,2037,1,4,0.000766414619259167,99232,76,396747.82127178,8370464.57662745,84.3524727570487,lower
female,2037,5,5,0.000509495338308246,99156,50,495655,7973716.75535567,80.4158775601645,lower
female,2037,10,5,0.000325208143620706,99106,32,495450,7478061.75535567,75.4551869246632,lower
female,2037,15,5,0.000827084836837633,99074,82,495165,6982611.75535567,70.4787507858336,lower
female,2037,20,5,0.00197637880374575,98992,196,494470,6487446.75535567,65.5350609681153,lower
female,2037,25,5,0.00300909687413191,98796,297,493237.5,5992976.75535567,60.6601153422778,lower
female,2037,30,5,0.00343224482318006,98499,338,491650,5499739.25535567,55.8354831557242,lower
female,2037,35,5,0.00600891858188327,98161,590,489330,5008089.25535567,51.0191344358317,lower
female,2037,40,5,0.00740041322309423,97571,722,486050,4518759.25535567,46.3125237555798,lower
female,2037,45,5,0.010740111927951,96849,1040,481645,4032709.25535567,41.6391419153081,lower
female,2037,50,5,0.0154378864431523,95809,1480,475345,3551064.25535567,37.0639945658098,lower
female,2037,55,5,0.0222970564234203,94329,2103,466387.5,3075719.25535567,32.606295575652,lower
female,2037,60,5,0.0333556693625668,92226,3076,453440,2609331.75535567,28.2927998108524,lower
female,2037,65,5,0.0477832104977144,89150,4260,435100,2155891.75535567,24.1827454330418,lower
female,2037,70,5,0.0728645474874212,84890,6185,408987.5,1720791.75535567,20.2708417405545,lower
female,2037,75,5,0.116406141612778,78705,9162,370620,1311804.25535567,16.6673560174789,lower
female,2037,80,5,0.184592762236743,69543,12837,315622.5,941184.255355673,13.5338460428177,lower
female,2037,85,,1,56706,56706,625561.755355673,625561.755355673,11.0316678192021,lower
female,2038,0,1,0.00755054988702277,1e+05,755,99294.3843238257,8479494.90685098,84.7949490685098,lower
female,2038,1,4,0.000741923534313817,99245,74,396804.589404242,8380200.52252715,84.439523628668,lower
female,2038,5,5,0.000498913735167474,99171,49,495732.5,7983395.93312291,80.5013152345233,lower
female,2038,10,5,0.000320478348833599,99122,32,495530,7487663.43312291,75.5398744287132,lower
female,2038,15,5,0.000815224109181208,99090,81,495247.5,6992133.43312291,70.5634618339177,lower
female,2038,20,5,0.00195264025091181,99009,193,494562.5,6496885.93312291,65.6191450587614,lower
female,2038,25,5,0.00297226750199275,98816,294,493345,6002323.43312291,60.7424246389543,lower
female,2038,30,5,0.00339481276973723,98522,334,491775,5508978.43312291,55.916226153782,lower
female,2038,35,5,0.00595252120835332,98188,585,489477.5,5017203.43312291,51.0979288011051,lower
female,2038,40,5,0.00733582373790408,97603,716,486225,4527725.93312291,46.3892086628783,lower
female,2038,45,5,0.0106683443909413,96887,1033,481852.5,4041500.93312291,41.7135522115754,lower
female,2038,50,5,0.0153381439126811,95854,1471,475592.5,3559648.43312291,37.1361490717436,lower
female,2038,55,5,0.0221777099385445,94383,2093,466682.5,3084055.93312291,32.6759684807954,lower
female,2038,60,5,0.0331483067136458,92290,3059,453802.5,2617373.43312291,28.3603145857938,lower
female,2038,65,5,0.0474834541433297,89231,4237,435562.5,2163570.93312291,24.2468529224475,lower
female,2038,70,5,0.0724002426588741,84994,6154,409585,1728008.43312291,20.3309461035239,lower
female,2038,75,5,0.11581990428003,78840,9131,371372.5,1318423.43312291,16.7227731243393,lower
female,2038,80,5,0.183701516583301,69709,12806,316530,947050.933122909,13.5857770606795,lower
female,2038,85,,1,56903,56903,630520.933122909,630520.933122909,11.0806272625856,lower
female,2039,0,1,0.00740926824821286,1e+05,741,99307.183673299,8490537.93978765,84.9053793978765,lower
female,2039,1,4,0.000713867973827889,99259,71,396867.729286731,8391230.75611435,84.5387396217406,lower
female,2039,5,5,0.00048611318414998,99188,48,495820,7994363.02682762,80.5980867325444,lower
female,2039,10,5,0.000315137512061876,99140,31,495622.5,7498543.02682762,75.6358989996734,lower
female,2039,15,5,0.000803074091469329,99109,80,495345,7002920.52682762,70.6587749531084,lower
female,2039,20,5,0.00192429475520955,99029,190,494670,6507575.52682762,65.7138366218746,lower
female,2039,25,5,0.0029307268170045,98839,290,493470,6012905.52682762,60.8353537250237,lower
female,2039,30,5,0.00335568383693996,98549,331,491917.5,5519435.52682762,56.0070170861969,lower
