age,year,central,lower,upper,type,sex
40,2024,0.0012910262086842,0.00154778939359567,0.00107830512930538,forecast,female
40,2025,0.00126373284584989,0.00155740046614211,0.00102651237187199,forecast,female
40,2026,0.00123732026274483,0.00156240139657404,0.000979400427843591,forecast,female
40,2027,0.00121135020643866,0.00156403457306805,0.000937579961045178,forecast,female
40,2028,0.00118592702510099,0.00156324444693639,0.000899324960907298,forecast,female
40,2029,0.00116068057120938,0.00156046791516586,0.000863129132885201,forecast,female
40,2030,0.00113659617042641,0.0015540173817344,0.00083023594540288,forecast,female
40,2031,0.00111225788898504,0.00154861553553748,0.000798036101867631,forecast,female
40,2032,0.00108924858044235,0.00153870363071832,0.000768397403318559,forecast,female
40,2033,0.00106639272881616,0.00152962943875515,0.000740464003245621,forecast,female
40,2034,0.00104411951773966,0.00151827629454305,0.000714300884117126,forecast,female
40,2035,0.00102166289988765,0.00150838091897479,0.000689471161331384,forecast,female
40,2036,0.00100016230949594,0.0014965285449744,0.000664891678582085,forecast,female
40,2037,0.000979144635721111,0.00148557959606217,0.000641636874409558,forecast,female
40,2038,0.000958804820716918,0.00147256598985281,0.000620160704367004,forecast,female
40,2039,0.000938319517460412,0.00145875823663498,0.000599584500970153,forecast,female
40,2040,0.000918541315409227,0.00144394852614564,0.000579804064104148,forecast,female
40,2041,0.000898873358639767,0.00143024116852505,0.000560790203918321,forecast,female
40,2042,0.000880094508906126,0.00141853654652,0.000542209782496728,forecast,female
40,2043,0.000861747150382281,0.00140412936794124,0.000525099244479713,forecast,female
40,2044,0.000843290303562029,0.00138936527783474,0.000508613398338027,forecast,female
40,2045,0.000825504474753208,0.00137626163365745,0.000492334788375471,forecast,female
40,2046,0.000808074786161101,0.00136031126596597,0.000476080321204507,forecast,female
40,2047,0.000791156289496063,0.00134619014378888,0.000461855808795384,forecast,female
40,2048,0.000774452958974683,0.00133062151161848,0.000447071462038288,forecast,female
40,2049,0.000758325466713811,0.0013150739075532,0.000433120184718151,forecast,female
40,2050,0.000742393093776391,0.00129823367390212,0.000420244981544174,forecast,female
40,2051,0.0007268316526992,0.00128513689602583,0.000407147927286668,forecast,female
40,2052,0.000711252498488623,0.00126913312497182,0.000394523687831002,forecast,female
40,2053,0.000696373955467492,0.00125560435726657,0.000382668288336438,forecast,female
40,2054,0.000681968607875082,0.00123903963024712,0.000370744516035579,forecast,female
40,2055,0.000667360191154727,0.00122552736105522,0.000359366989561545,forecast,female
40,2056,0.000653278650997371,0.00120987005959904,0.000348490872502353,forecast,female
40,2057,0.000639736424145353,0.00119503863689823,0.000338752010673878,forecast,female
40,2058,0.000626147093630277,0.00118180699142906,0.000328400593718219,forecast,female
40,2059,0.000613183678987658,0.00116587578710079,0.000318733103688879,forecast,female
40,2060,0.00060027521767908,0.00115017322649766,0.000309309840610995,forecast,female
40,2061,0.000587473572934084,0.00113618712470523,0.000300728766971341,forecast,female
45,1950,0.00841449527857152,,,historic,female
45,1951,0.00668553855910789,,,historic,female
45,1952,0.00699818896504772,,,historic,female
45,1953,0.00526384088578745,,,historic,female
45,1954,0.00440998039552598,,,historic,female
45,1955,0.0049743959924457,,,historic,female
45,1956,0.00451744371608848,,,historic,female
45,1957,0.00447085011000506,,,historic,female
45,1958,0.0050393585121039,,,historic,female
45,1959,0.00391226450464655,,,historic,female
45,1960,0.00395582913506564,,,historic,female
45,1961,0.00393247063582782,,,historic,female
45,1962,0.00407602806741861,,,historic,female
45,1963,0.00376187001111379,,,historic,female
45,1964,0.00365482485671224,,,historic,female
45,1965,0.00416114966123193,,,historic,female
45,1966,0.00377724508936774,,,historic,female
45,1967,0.00389389472553497,,,historic,female
45,1968,0.00351180039124424,,,historic,female
